,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
133,정규강좌,생활/인문교양,인문,미술의 마음,4,133,133,False
134,정규강좌,생활/인문교양,취미,여행을 이야기하다,4,134,134,False
135,정규강좌,생활/인문교양,인문,"미술, 창조사회를 말하다",4,135,135,False
136,정규강좌,생활/인문교양,취미,인문학과 함께하는 비즈니스 트립,4,136,136,False
137,정규강좌,외국어,영어,스낵영어네이티브: The Travel 5.1 [중고급],4,137,137,False
138,정규강좌,외국어,영어,스낵영어네이티브: The Travel 4.2 [중급],4,138,138,False
139,정규강좌,외국어,영어,스낵영어네이티브: The Travel 5.2 [중고급],4,139,139,False
140,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.5 [중고급],4,140,140,False
141,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.6 [중고급],4,141,141,False
142,정규강좌,외국어,일본어,일본 현지 성우와 함께 배우는 마법의 360문장 (1),4,142,142,False
143,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.1 [중급],4,143,143,False
144,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.2 [중급],4,144,144,False
145,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.3 [중급],4,145,145,False
146,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.4 [중급],4,146,146,False
147,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.5 [중급],4,147,147,False
148,정규강좌,외국어,영어,스낵영어네이티브: The Life 4.6 [중급],4,148,148,False
149,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.2 [중고급],4,149,149,False
150,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.3 [중고급],4,150,150,False
151,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.4 [중고급],4,151,151,False
152,정규강좌,외국어,영어,스낵영어네이티브: The Travel 4.1 [중급],4,152,152,False
153,정규강좌,외국어,영어,스낵영어네이티브: The Life 5.1 [중고급],4,153,153,False
154,정규강좌,외국어,일본어,일본 현지 성우와 함께 배우는 마법의 360문장 (2),4,154,154,False
155,정규강좌,외국어,일본어,일본 현지 성우와 함께 배우는 마법의 360문장 (3),4,155,155,False
156,정규강좌,외국어,일본어,JLPT 한 권으로 끝내기 N2 - 청해,4,156,156,False
157,정규강좌,외국어,영어,The 빠른 Toeic Speaking 실전 모의고사,4,157,157,False
158,테마강좌,법정의무교육,필수교육,"[2022 법정필수교육] 4대 폭력 예방 (성희롱 예방, 성폭력 예방, 성매매 예방, 가정폭력 예방)",4,158,158,False
159,테마강좌,법정의무교육,안전보건교육,모두의 안전을 위한 중대재해처벌법,4,159,159,False
160,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 부동산학개론 핵심요약,5,160,160,False
161,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-1차] 민법 및 민사특별법-심화이론,5,161,161,False
162,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-핵심요약,5,162,162,False
163,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 부동산학개론-족집게특강,5,163,163,False
164,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-실전 문제풀이,5,164,164,False
165,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-1차] 부동산학개론 심화이론,5,165,165,False
166,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-1차] 부동산학개론-족집게특강,5,166,166,False
167,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 중개사법령 및 중개실무-핵심요약,5,167,167,False
168,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-실전 문제풀이,5,168,168,False
169,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산세법-기출 문제풀이,5,169,169,False
170,정규강좌,자격증,공인중개사,[2023 휴넷공인중개사-2차] 부동산공시법-기출 문제풀이,5,170,170,False
